janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
-4;-28;-9,8;-5,7;2,8;12,3;13,9;24,2;9,2;2;2,3;1
-4,6;-21,4;-7,8;-5,7;2,6;11,4;17,9;19,9;13;-1,2;-2;-3,5
-4,4;-18;-15,8;-2,6;4,2;8,8;17,8;15,5;13,4;-2,6;-0,1;-3,2
-6,5;-23,3;-17,9;-2;1,3;5,4;15,4;13,6;11,4;-2,7;0,4;-6,1
-11,2;-27,1;-18,6;-0,5;2;4,5;13,7;14;10;-1,7;3,3;-3,7
-2,8;-21,5;-22,6;0,2;6,1;4,5;17,7;11,8;9,3;-1,3;3,5;-5,2
-6;-15,7;-16,7;-1,6;3,7;5,7;15,1;10,1;6,6;-3,3;1,5;-7,1
-11,7;-16;-14,3;-3,8;5,3;6,2;18,3;15,6;5,5;-2,9;1;-3,4
-13;-6,3;-9,7;-4,9;10;8,6;18,6;18,6;7,2;3,9;0,9;-2,7
-8,9;-6,2;-6,5;-2,2;13,7;9,6;19,5;17;9,7;2;-0,3;-2,5
-6,2;-8,3;-3,4;-2,2;13,8;8,3;21,6;16,4;11;0,3;0,2;-3,4
-6,5;-12,9;-7,2;0,5;14,7;4,5;20,7;13,8;9,8;4,9;2,1;-15
-10,1;-7,2;-9;0,7;15;6,5;19,6;11,9;10,6;7,4;3,3;-12,3
-3;-2,5;-9,4;1,9;15,6;10,6;17,1;8,7;9;11;0,2;-5,7
-5,3;-2,4;-13,4;0,9;14,9;14,9;17,3;9,7;9,2;7;2,3;-5,2
-11,2;-4;-13,2;3;16,7;16,4;19,9;10,2;7;1,5;4,4;-4,4
-15,8;-8,5;-8,7;4,9;7,9;16,1;23,3;17,1;6,3;1,1;3,8;-7,9
-10,5;-13,7;-4,9;4;6,4;14,8;25;16,9;5,9;3,2;-3,4;-7
-14;-20,1;-10,4;1,7;10;14,8;24,1;13,7;5,9;0,6;-4,6;-7
-11,5;-22,1;-16,6;-1,5;10,6;11,9;23,5;10,7;9,2;-0,3;-0,3;-6,7
-13,3;-15,6;-11,5;-1,6;15,6;12,5;18,8;10,2;10,1;4,7;-0,6;-9,6
-21;-16,8;-8,7;-0,8;16;11;20,5;9;11;0,9;-0,8;-22
-22,2;-23,8;-12,3;2,1;7,9;11,1;20,6;8,9;9;-4;-3,4;-24,6
-22,5;-20;-8,8;3,8;7,6;11,1;21,3;9,6;5,1;-5,5;-2,6;-14,7
-4;-9,4;-13,3;3,6;14,5;15,3;22,9;14,6;2;-3,9;-5;-7,6
-12,1;-7,7;-11;3,2;11,5;16,1;17,4;12,6;2,4;-2,7;-6,9;-8,4
-15,7;-16,7;-9,2;2,8;9,5;13,9;15,4;10,6;3,5;-3,8;-11,4;-12,1
-13,2;-16,6;-6,8;3,9;15,3;10,7;16,1;9,1;0,4;-8,9;-8,1;-9,4
-8,3;;-3,1;1,1;14;11,1;19,2;10,8;-0,6;-11,6;-1,9;-3,1
-7,1;;-5,4;0,9;7,8;9,5;22,1;12,5;3,2;-10,1;1,3;-15,4
-14,3;;-3,8;;9;;23,6;12,2;;-1;;-12,8
